solve,N,threads,repeat,iters,loglik,ms_serial,ms_v1,ms_v2,match
solve,50000,1,50,19,-6778.68,1227.42,1263.17,1249.42,1
solve,50000,2,50,19,-6778.68,1242.63,723.643,647.774,1
solve,50000,4,50,19,-6778.68,1256.26,925.074,336.684,1
solve,50000,8,50,19,-6778.68,1252.53,2197.65,181.194,1
solve,100000,1,50,29,-13161.8,4322.88,4483.49,4350.47,1
solve,100000,2,50,29,-13161.8,4307.51,2405.4,2205.09,1
solve,100000,4,50,29,-13161.8,4296.57,3067.99,1147.68,1
solve,100000,8,50,29,-13161.8,4303.29,7527.47,601.412,1
solve,200000,1,50,29,-26328.5,8526.51,8804.95,8552.04,1
solve,200000,2,50,29,-26328.5,8610.7,4844.83,4349.47,1
solve,200000,4,50,29,-26328.5,8532.32,6044.32,2247.74,1
solve,200000,8,50,29,-26328.5,8566.68,15019.1,1171.74,1
solve,500000,1,50,31,-65852.8,23134,23876.1,23190.5,1
solve,500000,2,50,31,-65852.8,23092.4,12850,11756.5,1
solve,500000,4,50,31,-65852.8,23160,71116.3,6074.69,1
solve,500000,8,50,31,-65852.8,23132,40804.6,3142.58,1
