solve,N,threads,repeat,iters,loglik,ms_serial,ms_v1,ms_v2,match
solve,50000,1,50,19,-6778.68,1249.46,1283.5,1238.26,1
solve,50000,2,50,19,-6778.68,1229.81,709.096,647.247,1
solve,50000,3,50,19,-6778.68,1228.55,692.465,448.05,1
solve,50000,4,50,19,-6778.68,1262.03,956.607,337.825,1
solve,50000,8,50,19,-6778.68,1261.85,2105.07,181.978,1
solve,100000,1,50,29,-13161.8,4312.3,4452.67,4326.36,1
solve,100000,2,50,29,-13161.8,4334.61,2475.11,2228.78,1
solve,100000,3,50,29,-13161.8,4344.21,2288.38,1513.38,1
solve,100000,4,50,29,-13161.8,4305.29,3290.5,1145.09,1
solve,100000,8,50,29,-13161.8,4296.5,7280.49,598.672,1
solve,200000,1,50,29,-26328.5,8525.39,8831.31,8560.63,1
solve,200000,2,50,29,-26328.5,8528.67,4778.98,4350.17,1
solve,200000,3,50,29,-26328.5,8527.99,4571.01,2988.98,1
solve,200000,4,50,29,-26328.5,8530.18,6281.76,2255.07,1
solve,200000,8,50,29,-26328.5,8532.51,14401,1171.9,1
solve,500000,1,50,31,-65852.8,23121.9,23889,23199.9,1
solve,500000,2,50,31,-65852.8,23107,12888.5,11761.4,1
solve,500000,3,50,31,-65852.8,23091.7,12288.3,8076.69,1
solve,500000,4,50,31,-65852.8,23085.3,17060.4,6086.93,1
solve,500000,8,50,31,-65852.8,23079.6,39370.9,3130.63,1
