Efficiency table -- Logit (mac)
       N  thr     serial     v2(ms)  speedup   eff%
   50000    1     1249.5     1238.3     0.99   99.2
   50000    2     1229.8      647.2     1.90   94.9
   50000    3     1228.5      448.1     2.74   91.4
   50000    4     1262.0      337.8     3.64   90.9
   50000    8     1261.8      182.0     6.75   84.4
  100000    1     4312.3     4326.4     0.99   99.3
  100000    2     4334.6     2228.8     1.93   96.4
  100000    3     4344.2     1513.4     2.84   94.6
  100000    4     4305.3     1145.1     3.75   93.8
  100000    8     4296.5      598.7     7.18   89.7
  200000    1     8525.4     8560.6     1.00   99.6
  200000    2     8528.7     4350.2     1.96   98.0
  200000    3     8528.0     2989.0     2.85   95.1
  200000    4     8530.2     2255.1     3.78   94.5
  200000    8     8532.5     1171.9     7.27   90.9
  500000    1    23121.9    23199.9     0.99   99.5
  500000    2    23107.0    11761.4     1.96   98.1
  500000    3    23091.7     8076.7     2.86   95.3
  500000    4    23085.3     6086.9     3.79   94.8
  500000    8    23079.6     3130.6     7.37   92.2
