solve,N,threads,repeat,iters,loglik,ms_serial,ms_v1,ms_v2,match
solve,50000,1,50,8,3.49607e+08,94.9483,129.918,97.0928,1
solve,50000,2,50,8,3.49607e+08,93.1482,238.657,50.8009,1
solve,50000,3,50,8,3.49607e+08,93.169,826.525,37.7362,1
solve,50000,4,50,8,3.49607e+08,94.2736,365.631,29.8819,1
solve,50000,8,50,8,3.49607e+08,93.9135,313.306,20.431,1
solve,100000,1,50,8,7.05925e+08,186.066,259.203,188.059,1
solve,100000,2,50,8,7.05925e+08,186.144,467.163,98.6578,1
solve,100000,3,50,8,7.05925e+08,185.643,1796.22,70.0885,1
solve,100000,4,50,8,7.05925e+08,187.842,689.66,54.3382,1
solve,100000,8,50,8,7.05925e+08,186.229,607.44,32.402,1
solve,200000,1,50,8,1.41867e+09,372.845,508.424,374.511,1
solve,200000,2,50,8,1.41867e+09,372.03,919.283,192.913,1
solve,200000,3,50,8,1.41867e+09,371.67,3337.02,134.295,1
solve,200000,4,50,8,1.41867e+09,371.475,1356.64,102.732,1
solve,200000,8,50,8,1.41867e+09,372.477,1178.36,57.6685,1
solve,500000,1,50,8,3.52454e+09,929.492,1271.88,937.095,1
solve,500000,2,50,8,3.52454e+09,929.62,2274.42,478.183,1
solve,500000,3,50,8,3.52454e+09,929.488,9248.74,329.136,1
solve,500000,4,50,8,3.52454e+09,929.711,3748.13,248.843,1
solve,500000,8,50,8,3.52454e+09,929.312,2896.82,131.216,1
