Efficiency table -- Poisson (mac)
       N  thr     serial     v2(ms)  speedup   eff%
   50000    1       94.9       97.1     0.96   95.9
   50000    2       93.1       50.8     1.83   91.7
   50000    3       93.2       37.7     2.47   82.3
   50000    4       94.3       29.9     3.12   77.9
   50000    8       93.9       20.4     4.56   57.0
  100000    1      186.1      188.1     0.99   98.7
  100000    2      186.1       98.7     1.88   94.1
  100000    3      185.6       70.1     2.65   88.3
  100000    4      187.8       54.3     3.42   85.4
  100000    8      186.2       32.4     5.73   71.6
  200000    1      372.8      374.5     0.99   99.2
  200000    2      372.0      192.9     1.93   96.3
  200000    3      371.7      134.3     2.77   92.2
  200000    4      371.5      102.7     3.62   90.4
  200000    8      372.5       57.7     6.44   80.5
  500000    1      929.5      937.1     0.99   99.2
  500000    2      929.6      478.2     1.94   97.2
  500000    3      929.5      329.1     2.82   94.1
  500000    4      929.7      248.8     3.73   93.4
  500000    8      929.3      131.2     7.08   88.5
