solve,N,threads,repeat,iters,loglik,ms_serial,ms_v1,ms_v2,match
solve,50000,1,50,31,-6847.5,43392.5,44045.5,46116.5,1
solve,50000,2,50,31,-6847.5,43443.1,37257.4,25049.1,1
solve,50000,3,50,31,-6847.5,27794.6,18378.3,9965.06,1
solve,50000,4,50,31,-6847.5,26540.7,16236.3,7629.06,1
solve,50000,8,50,31,-6847.5,26476.7,14411.7,6889.04,1
solve,100000,1,50,31,-13371,52673.1,52168.8,52082.6,1
solve,100000,2,50,31,-13371,52859.2,44165.6,28322.9,1
solve,100000,3,50,31,-13371,52556.7,37466.9,20375.5,1
solve,100000,4,50,31,-13371,53686.7,33550.4,15758.3,1
solve,100000,8,50,31,-13371,53960.5,30343.9,13557,1
solve,200000,1,50,31,-26195.3,104721,105305,105331,1
solve,200000,2,50,31,-26195.3,123136,128081,75533.3,1
solve,200000,3,50,31,-26195.3,123536,90177.8,46368.2,1
solve,200000,4,50,31,-26195.3,109361,73234.6,33001.5,1
solve,200000,8,50,31,-26195.3,106923,58166.4,25790.8,1
solve,500000,1,50,31,-66443.4,265212,266138,264666,1
solve,500000,2,50,31,-66443.4,264283,221395,141549,1
solve,500000,3,50,31,-66443.4,265655,197094,100277,1
solve,500000,4,50,31,-66443.4,265218,180319,78762,1
solve,500000,8,50,31,-66443.4,265272,138556,66235.7,1
