Efficiency table -- Logit (xps)
       N  thr     serial     v2(ms)  speedup   eff%
   50000    1    43392.5    46116.5     0.57   57.4
   50000    2    43443.1    25049.1     1.06   52.8
   50000    3    27794.6     9965.1     2.66   88.6
   50000    4    26540.7     7629.1     3.47   86.8
   50000    8    26476.7     6889.0     3.84   48.0
  100000    1    52673.1    52082.6     1.01  100.9
  100000    2    52859.2    28322.9     1.86   92.8
  100000    3    52556.7    20375.5     2.58   86.0
  100000    4    53686.7    15758.3     3.34   83.4
  100000    8    53960.5    13557.0     3.88   48.5
  200000    1   104721.0   105331.0     0.99   99.4
  200000    2   123136.0    75533.3     1.39   69.3
  200000    3   123536.0    46368.2     2.26   75.3
  200000    4   109361.0    33001.5     3.17   79.3
  200000    8   106923.0    25790.8     4.06   50.8
  500000    1   265212.0   264666.0     1.00   99.9
  500000    2   264283.0   141549.0     1.87   93.4
  500000    3   265655.0   100277.0     2.64   87.9
  500000    4   265218.0    78762.0     3.36   83.9
  500000    8   265272.0    66235.7     3.99   49.9
