solve,N,threads,repeat,iters,loglik,ms_serial,ms_v1,ms_v2,match
solve,50000,1,50,8,3.60588e+08,1383.59,1426.73,1396.25,1
solve,50000,2,50,8,3.60588e+08,1369.61,1034.85,854.196,1
solve,50000,3,50,8,3.60588e+08,1388.93,887.082,754,1
solve,50000,4,50,8,3.60588e+08,1356.42,1057.36,607.508,1
solve,50000,8,50,8,3.60588e+08,1418.17,1279.48,391.626,1
solve,100000,1,50,6,7.20491e+08,2044.84,2045.31,2022.34,1
solve,100000,2,50,6,7.20491e+08,2016.62,1439.53,1222.57,1
solve,100000,3,50,6,7.20491e+08,1961.62,1341.06,984.244,1
solve,100000,4,50,6,7.20491e+08,2032.62,1557.7,832.451,1
solve,100000,8,50,6,7.20491e+08,2059.33,1904.21,522.014,1
solve,200000,1,50,8,1.42257e+09,5418.69,5482.6,5482.81,1
solve,200000,2,50,8,1.42257e+09,5451.64,4258.15,3630.79,1
solve,200000,3,50,8,1.42257e+09,5414.05,4123.67,2880.77,1
solve,200000,4,50,8,1.42257e+09,5554.32,4180.53,2444.49,1
solve,200000,8,50,8,1.42257e+09,5519.64,5041.64,1406.3,1
solve,500000,1,50,10,3.52048e+09,17434.9,17545.2,17274.6,1
solve,500000,2,50,10,3.52048e+09,24615.6,15687.8,12429.1,1
solve,500000,3,50,10,3.52048e+09,22199.1,16423,9303.28,1
solve,500000,4,50,10,3.52048e+09,22763.2,14468.8,8275.58,1
solve,500000,8,50,10,3.52048e+09,24345,18038.8,4360.45,1
