Efficiency table -- Poisson (xps)
       N  thr     serial     v2(ms)  speedup   eff%
   50000    1     1383.6     1396.2     0.97   97.1
   50000    2     1369.6      854.2     1.59   79.4
   50000    3     1388.9      754.0     1.80   60.0
   50000    4     1356.4      607.5     2.23   55.8
   50000    8     1418.2      391.6     3.46   43.3
  100000    1     2044.8     2022.3     0.97   97.0
  100000    2     2016.6     1222.6     1.60   80.2
  100000    3     1961.6      984.2     1.99   66.4
  100000    4     2032.6      832.5     2.36   58.9
  100000    8     2059.3      522.0     3.76   47.0
  200000    1     5418.7     5482.8     0.99   98.7
  200000    2     5451.6     3630.8     1.49   74.6
  200000    3     5414.1     2880.8     1.88   62.6
  200000    4     5554.3     2444.5     2.21   55.4
  200000    8     5519.6     1406.3     3.85   48.1
  500000    1    17434.9    17274.6     1.01  100.9
  500000    2    24615.6    12429.1     1.40   70.1
  500000    3    22199.1     9303.3     1.87   62.5
  500000    4    22763.2     8275.6     2.11   52.7
  500000    8    24345.0     4360.4     4.00   50.0
